id,titulo,data_lancamento,nota_media,orcamento,bilheteria,generos
969681,Homem-Aranha: Um Novo Dia,2026-07-29,7.848,225000000,2453024087,"Ficção científica, Ação, Aventura"
1204680,Coyote vs. Acme,2026-08-20,7.546,72000000,65750256,"Comédia, Aventura, Família"
1101383,O Fim da Rua,2026-08-12,6.925,80000000,117234000,"Ficção científica, Mistério, Thriller"
264980,Das Mädchen mit der heißen Masche,1972-03-09,4.2,0,0,Comédia
1375646,Zona Zero,2026-05-21,8.077,0,0,"Ação, Terror, Ficção científica"
1368337,A Odisseia,2026-07-15,8.014,250000000,1684432000,"Aventura, Ação, Fantasia"
1294189,The Mongoose,2026-10-29,0.0,0,0,"Ação, Thriller"
1285366,愛のぬくもり,2024-07-06,5.688,0,0,Romance
1288445,Código: Vingança,2026-08-19,6.4,40000000,20824283,"Ação, Thriller"
1423191,Resident Evil,2026-09-16,7.59,75000000,8800000,"Terror, Ficção científica, Aventura"
1108427,Moana,2026-07-08,7.318,250000000,308159595,"Família, Fantasia, Comédia, Aventura"
1440098,Atraídos Pelo Destino,2026-09-09,6.6,0,0,"Romance, Thriller"
1482547,Zip Wire,2026-08-31,7.545,0,0,"Ação, Thriller"
1386315,Corrida Contra o Tempo,2026-09-03,6.788,0,0,"Thriller, Ação"
1408162,விஸ்வநாத் & சன்ஸ்,2026-08-14,7.2,0,0,"Drama, Romance, Comédia"
1084244,Toy Story 5,2026-06-17,8.355,250000000,1136476240,"Animação, Família, Comédia, Aventura"
1393326,Hantu Dalam Sel,2026-04-16,7.208,0,0,"Terror, Comédia, Thriller"
1137844,Mayday,2026-09-03,7.996,0,0,"Ação, Comédia"
1339713,Obsessão,2026-05-13,8.195,750000,513840715,"Terror, Thriller"
1323244,Céu em Fúria,2026-08-06,6.658,0,0,"Ação, Ficção científica, Thriller"
1232569,Pinóquio: Maldição de Madeira,2026-07-22,6.625,500000,821127,"Terror, Fantasia, Mistério"
1315772,Minions & Monstros,2026-06-24,7.549,85000000,519033384,"Aventura, Animação, Comédia, Família, Fantasia"
1506560,O Confronto dos Thundermans,2026-09-03,6.9,0,0,"Cinema TV, Família, Ação"
42573,Dottor Jekyll e gentile signora,1979-08-31,4.95,0,0,"Terror, Comédia"
1516698,O Último Nascer do Sol,2026-08-26,6.747,0,0,"Romance, Drama"
1621552,A Captura,2026-08-21,8.827,0,0,"Crime, Ação, Thriller"
1058424,Hope: O Primeiro Impacto,2026-07-15,7.4,46000000,41212538,"Ficção científica, Mistério, Ação"
1127384,Águas Mortais,2026-04-30,7.316,40000000,7340233,"Terror, Thriller"
299534,Vingadores: Ultimato,2019-04-24,8.243,356000000,2799439100,"Aventura, Ficção científica, Ação"
1469930,Tumbal Proyek,2026-05-13,3.8,0,0,"Terror, Thriller"
687163,Devoradores de Estrelas,2026-03-15,8.64,200000000,684234722,"Ficção científica, Aventura"
1130948,Rosebush Pruning,2026-04-23,6.2,0,85294,"Comédia, Drama, Thriller"
71578,Desnudos,2004-10-22,3.9,0,0,"Drama, Romance"
980431,Avatar Aang: O Último Mestre do Ar,2026-07-24,9.143,0,0,"Animação, Aventura, Fantasia, Ação"
1185806,Patrulha Canina: Uma Aventura Dino,2026-07-23,7.8,40000000,138326933,"Animação, Aventura, Família, Fantasia, Comédia"
1275779,Dia D,2026-06-10,7.473,115000000,241186430,"Ficção científica, Thriller"
1083381,Backrooms: Um Não-Lugar,2026-05-27,7.045,10000000,394122453,"Terror, Mistério, Ficção científica"
755898,A Guerra dos Mundos,2025-07-29,4.022,10000000,0,"Ficção científica, Thriller"
1599993,Animales,2026-02-05,6.304,0,0,"Comédia, Thriller"
1560520,Batman: A Queda do Morcego - Parte 1,2026-06-23,9.186,0,0,"Animação, Ação, Aventura, Ficção científica"
860508,O Homem que Sussurra,2026-08-27,6.809,50000000,0,"Crime, Drama, Thriller"
1180894,Bajo tus pies,2026-02-19,5.18,0,0,Terror
1228710,Star Wars: O Mandaloriano e Grogu,2026-05-20,7.481,165000000,345166617,"Ação, Aventura, Ficção científica"
1081003,Supergirl,2026-06-24,6.684,175000000,126366532,"Ação, Aventura, Ficção científica"
1156869,性迷宮,1994-01-01,0.0,0,0,
1514682,Entre Céu e Mar,2026-07-29,6.158,0,328837,"Thriller, Crime"
299536,Vingadores: Guerra Infinita,2018-04-25,8.243,300000000,2052415039,"Aventura, Ação, Ficção científica"
278,Um Sonho de Liberdade,1994-09-23,8.731,25000000,28341469,"Drama, Crime"
1084242,Zootopia 2,2025-11-26,7.674,150000000,1868208796,"Animação, Aventura, Comédia, Mistério, Família"
813418,Hot Spot,2026-08-21,4.8,6000000,256350,"Ficção científica, Ação, Crime, Fantasia, Thriller"
1302904,Da Magia à Sedução: Feitiço de Amor,2026-09-09,6.031,75000000,46000000,"Romance, Fantasia, Comédia"
218,O Exterminador do Futuro,1984-10-26,7.693,6400000,78371200,"Ação, Thriller, Ficção científica"
1318467,The Last Kiss,2026-09-15,6.5,0,0,"Terror, Mistério, Thriller"
19995,Avatar,2009-12-16,7.609,237000000,2923706026,"Ficção científica, Ação, Aventura"
1311031,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,2025-07-18,8.795,20000000,793594078,"Animação, Ação, Fantasia"
1101412,A Queda 2: No Limite,2026-09-01,6.811,3000000,9256541,Thriller
76341,Mad Max: Estrada da Fúria,2015-05-13,7.638,150000000,378858340,"Ação, Aventura, Ficção científica"
157336,Interestelar,2014-11-05,8.487,165000000,746606706,"Aventura, Drama, Ficção científica"
83533,Avatar: Fogo e Cinzas,2025-12-17,7.642,350000000,1485999890,"Ficção científica, Aventura, Fantasia"
634649,Homem-Aranha: Sem Volta Para Casa,2021-12-15,7.947,200000000,1921426073,"Ação, Aventura, Ficção científica"
157336,Interestelar,2014-11-05,8.487,165000000,746606706,"Aventura, Drama, Ficção científica"
83533,Avatar: Fogo e Cinzas,2025-12-17,7.642,350000000,1485999890,"Ficção científica, Aventura, Fantasia"
634649,Homem-Aranha: Sem Volta Para Casa,2021-12-15,7.947,200000000,1921426073,"Ação, Aventura, Ficção científica"
24428,Os Vingadores: The Avengers,2012-04-25,8.076,220000000,1518815515,"Ficção científica, Ação, Aventura"
1273221,Todo Mundo em Pânico,2026-06-03,6.39,30000000,231886052,Comédia
238,O Poderoso Chefão,1972-03-14,8.687,6000000,245066411,"Drama, Crime"
1656489,Sultana,2026-04-17,5.5,0,0,"Drama, Música"
155,Batman: O Cavaleiro das Trevas,2008-07-16,8.535,185000000,1004558444,"Ação, Thriller, Crime"
1723013,Hibla 2,2026-06-30,3.0,0,0,Drama
1494843,丫丫,1979-03-01,0.0,0,0,
1284465,A Morte de Robin Hood,2026-06-18,6.226,25000000,3200000,"Aventura, Drama, Ação"
1226863,Super Mario Galaxy: O Filme,2026-04-01,8.224,110000000,1012203331,"Família, Comédia, Aventura, Fantasia, Animação"
1288059,I Want Your Sex,2026-07-29,6.181,10000000,2000000,Comédia
1377237,Três Horas Para Viver,2026-09-07,7.8,0,6432956,"Ação, Comédia, Thriller"
1594914,Lucky Strike,2026-06-26,6.875,10000000,803112,"Ação, Guerra"
872585,Oppenheimer,2023-07-19,8.022,100000000,952000000,"Drama, História"
1212763,A Morte do Demônio: Em Chamas,2026-07-07,7.682,20000000,71491178,Terror
1184918,Robô Selvagem,2024-09-12,8.305,78000000,331982078,"Família, Animação, Ficção científica, Aventura"
936075,Michael,2026-04-22,8.635,250000000,1032616139,"Música, Drama"
671,Harry Potter e a Pedra Filosofal,2001-11-16,7.9,125000000,1029374615,"Aventura, Fantasia"
822119,Capitão América: Admirável Mundo Novo,2025-02-12,5.953,180000000,415101577,"Ação, Thriller, Ficção científica"
27205,A Origem,2010-07-15,8.4,160000000,839030630,"Ação, Ficção científica, Aventura"
533535,Deadpool & Wolverine,2024-07-24,7.589,200000000,1338073645,"Ação, Comédia, Ficção científica"
454639,Mestres do Universo,2026-06-03,7.125,200000000,113763426,"Ação, Fantasia, Ficção científica"
49026,Batman: O Cavaleiro das Trevas Ressurge,2012-07-17,7.798,250000000,1081041287,"Ação, Crime, Drama, Thriller"
693134,Duna: Parte Dois,2024-02-27,8.136,190000000,714844358,"Ficção científica, Aventura"
1234821,Jurassic World: Recomeço,2025-06-23,6.257,180000000,869146189,"Ficção científica, Aventura, Ação"
1290821,Missão Refúgio,2026-01-28,7.761,50000000,53933639,"Ação, Crime, Thriller"
1433367,Só por Uma Noite,2026-08-06,6.534,25000000,15728345,"Romance, Comédia"
324857,Homem-Aranha: No Aranhaverso,2018-12-06,8.401,90000000,394884133,"Animação, Ação, Aventura, Ficção científica"
603,Matrix,1999-03-31,8.259,63000000,463517383,"Ação, Ficção científica"
1314481,O Diabo Veste Prada 2,2026-04-29,7.042,100000000,691379651,"Comédia, Drama"
447273,Branca de Neve,2025-03-19,4.263,271600000,205679463,"Família, Fantasia"
1523145,Coração Partido,2026-03-26,7.082,3716000,7578000,Romance
315635,Homem-Aranha: De Volta ao Lar,2017-07-05,7.333,175000000,880978185,"Ação, Aventura, Ficção científica"
1110034,Kraken: O Terror das Profundezas,2026-02-06,6.266,1000000,14329678,"Terror, Ação, Thriller"
1327819,"Cara de Um, Focinho de Outro",2026-03-04,8.2,150000000,389685783,"Aventura, Animação, Comédia, Família, Ficção científica"
